name,title,male,culture,date_of_birth,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,mother_is_alive,father_is_alive,heir_is_alive,spouse_is_alive,married,nobility,age,number_of_dead_relations,child_of
Willam,,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Willem Wylde,Ser,1,,,,,,House Wylde,,0,0,0,0,0,,,,,0,1,,0,
Willifer,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Willit,,1,,,,,,House Swyft,,0,1,0,0,0,,,,,0,0,,0,
Willis Wode,Ser,1,,,,,,House Wode,,1,0,0,1,0,,,,,0,1,,0,
Willis Fell,Ser,0,,,,,,House Fell,,0,0,0,0,0,,,,,0,1,,0,
Willow Heddle,,0,,289.0,,,,Brotherhood Without Banners,,0,0,0,1,0,,,,,0,0,16.0,0,
Willum,Ser,1,,,,,,,,1,0,0,0,0,,,,,0,1,,0,
Wolmer,,1,,,,,,House Webber,,0,0,0,0,0,,,,,0,0,,0,
Willow Witch-eye,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,
Woth,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Wulfe,,1,Ironborn,,,,,House Greyjoy,,0,0,0,1,1,,,,,0,0,,0,
Wyl the Whittler,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Wyl (guard),,0,Northmen,,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,
Wyl Waynwood,,0,,,,,,House Waynwood,,0,0,0,0,0,,,,,0,0,,0,
Wun Weg Wun Dar Wun,,1,,,,,,,,0,0,0,0,1,,,,,0,0,,0,
Wylla,,1,,,,,,House Dayne,,1,0,1,0,0,,,,,0,0,,0,
Wynafryd Manderly,,0,,280.0,,,,House Manderly,,0,0,0,1,1,,,,,0,0,25.0,0,
Xhondo,,1,Summer Isles,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Ygon Farwynd,,1,,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,
Yna,,1,,,,,,Happy Port,,0,0,0,1,0,,,,,0,0,,0,
Yohn Farwynd,,1,Ironborn,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,
Yorkel,,0,,,,,,House Targaryen,,0,0,0,0,0,,,,,0,0,,0,
Yorko Terys,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Yormwell,Maester,0,,,,,,,,0,0,0,0,0,,,,,0,1,,0,
Young Henly,,1,,240.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,59.0,0,
Ysilla,,0,,,,,,,Yandry,0,0,0,0,1,,,,1.0,1,0,,0,
Zarabelo,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Zei,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Zekko,Khal,1,Dothraki,,,,,,,0,0,0,0,1,,,,,0,0,,0,
Zharaq zo Loraq,,1,Ghiscari,,,,,House of Loraq,,0,0,0,0,1,,,,,0,0,,0,
Wenda,,0,,,,,,Kingswood Brotherhood,,0,0,1,1,0,,,,,0,0,,0,
Wex Pyke,,1,Ironborn,286.0,,,,House Botley,,0,1,1,1,1,,,,,0,0,19.0,0,
Timett,red hand,1,Vale mountain clans,278.0,,,,Burned Men,,1,1,1,0,1,,,,,0,1,27.0,0,
Joffrey Baratheon,,1,,,Cersei Lannister,Robert Baratheon,Tommen Baratheon,,Margaery Tyrell,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,Jaime Lannister
Laenor Velaryon,Ser,1,Valyrian,94.0,,,,House Velaryon,Rhaenyra Targaryen,0,0,0,0,0,,,,1.0,1,1,26.0,0,
Leobald Tallhart,Castellan,1,Northmen,,,,,House Tallhart,Berena Hornwood,0,1,1,1,1,,,,1.0,1,1,,0,
Maegor I Targaryen,,1,,,Visenya Targaryen,Aegon I Targaryen,Jaehaerys Targaryen,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,0,
Margaery Tyrell,Seven Kingdoms,0,Reach,283.0,Alerie Hightower,Mace Tyrell,,House Tyrell,Tommen Baratheon,1,1,1,1,1,,,,0.0,1,1,22.0,3,
Naerys Targaryen,PrincessQueen,0,Valyrian,138.0,,,,House Targaryen,Aegon IV Targaryen,1,0,0,0,0,,,,0.0,1,1,100.0,12,
Quence,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Quellon Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,
Quellon Greyjoy,Lord of the Iron Islands,1,Ironborn,,,,,House Greyjoy,Lady of House Piper,0,0,0,1,0,,,,1.0,1,1,,0,
Quentyn Blackwood,Lord,0,,,,,,House Blackwood,,0,0,0,0,0,,,,,0,1,,0,
Quenton Greyjoy,,1,Ironborn,,Lady of House Stonetree,Quellon Greyjoy,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,
Quhuru Mo,,1,Summer Isles,,,,,,,0,1,0,1,0,,,,,0,0,,0,
Quickfinger,,1,,,,,,House Blackfyre,,0,0,0,0,0,,,,,0,0,,0,
Quill,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Quentin Tyrell,Ser,0,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,1,,0,
Quort,,1,,285.0,,,,wildling,,0,0,1,0,0,,,,,0,0,14.0,0,
Qyle,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Rafe,,0,,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Racallio Ryndoon,,1,Tyroshi,,,,,Kingdom of the Three Daughters,,0,0,0,0,0,,,,,0,0,,0,
Ragnor Pyke,,0,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,
Rainbow Knight,,0,,,,,,,,1,0,0,0,0,,,,,0,0,,0,
Randa,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Rast,,1,,,,,,Night's Watch,,1,1,1,0,0,,,,,0,0,,0,
Rawney,Brother,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Raymar Royce,Lord,1,,,,,,House Royce of the Gates of the Moon,,0,0,1,0,0,,,,,0,1,,0,
Raymond Nayland,Ser,0,,,,,,House Nayland,,0,0,0,1,0,,,,,0,1,,0,
Raymund Tyrell,,0,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,
Red Oarsman,,0,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,
Red Lamb,Ser,1,Lhazarene,,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,,0,
Redtusk,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,
Red Rolfe,,1,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,
Redwyn,,0,,,,,,Night's Watch,,0,1,0,0,0,,,,,0,0,,0,
Reynard Webber,Lord of Coldmoat,0,,,,,,House Webber,,0,0,0,0,0,,,,,0,1,,0,
Reysen,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Rhaegel Targaryen,Prince of Dragonstone,1,Valyrian,173.0,,,,House Targaryen,Alys Arryn,0,0,0,0,0,,,,1.0,1,1,42.0,3,
Rhaena Targaryen (daughter of Daemon),Lady,0,,116.0,,,,House Targaryen,Corwyn Corbray,0,0,0,0,0,,,,1.0,1,1,100.0,0,
Rhaena Targaryen (daughter of Aegon III),PrincessSepta,0,Valyrian,147.0,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,100.0,0,
Rhaenys Targaryen,Queen,0,Valyrian,-25.0,,,,House Targaryen,Aegon I Targaryen,1,0,0,0,0,,,,0.0,1,1,35.0,1,
Rhaenys Targaryen (daughter of Rhaegar),Princess,0,,280.0,,,,House Targaryen,,1,1,1,1,1,,,,,0,1,3.0,10,
Rhialta Vance,,0,,,,,,House Vance of Wayfarer's Rest,,0,0,0,1,0,,,,,0,0,,0,
Rhaenys Targaryen (daughter of Aemon),Princess,0,Valyrian,74.0,,,,House Targaryen,Corlys Velaryon,0,0,0,0,0,,,,0.0,1,1,55.0,0,
Rhonda Rowan,,0,,,,,,House Rowan,Baelor Hightower,0,0,0,1,0,,,,1.0,1,0,,0,
Richard Farrow,Ser,0,,,,,,House Farrow,,0,0,0,1,0,,,,,0,1,,0,
Richard Lonmouth,Ser,1,,,,,,House Lonmouth,,0,0,1,0,0,,,,,0,1,,0,
Rigney,Archmaester,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Rob,,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,
Rickard Tyrell,,1,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,
Robb Reyne,Ser,1,,,,,,House Reyne,,0,0,0,0,0,,,,,0,1,,0,
Robert Ashford,Ser,1,Reach,,,,,House Ashford,,0,0,0,0,0,,,,,0,1,,0,
Robert Brax (son of Flement),,1,,290.0,,,,House Brax,,0,1,1,1,0,,,,,0,0,15.0,0,
Robert Paege,Ser,0,,,,,,House Paege,,0,0,1,0,0,,,,,0,1,,0,
Robb Stark,,1,,,Catelyn Stark,Eddard Stark,Bran Stark,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,7,
Robin,,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Robert Frey (son of Raymund),,1,,283.0,,,,House Frey,,0,1,1,1,0,,,,,0,0,22.0,0,
Robin Greyjoy,,1,Ironborn,,Lady of House Piper,Quellon Greyjoy,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,
Robin Hollard,,1,,,,,,House Hollard,,0,0,0,1,0,,,,,0,0,,0,
Rodrik Freeborn,,1,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,
Roelle,Septa,0,,,,,,House Tarth,,0,0,0,1,0,,,,,0,0,,0,
Rodrik Stark (son of Beron),,1,Northmen,,,,,House Stark,Arya Flint,0,0,0,0,1,,,,1.0,1,0,,0,
Roger of Pennytree,,1,,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Roggo,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Roger Ryswell,,1,Northmen,,,,,House Ryswell,,0,0,0,1,1,,,,,0,0,,0,
Rolder,,1,,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,
Roland Crakehall (Kingsguard),Ser,1,,,,,,House Crakehall,,0,0,0,0,0,,,,,0,1,,0,
Rolfe,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Rolland Darklyn,Ser,1,,,,,,House Darklyn,,0,0,0,1,0,,,,,0,1,,0,
Rollam Westerling,,1,,290.0,,,,House Westerling,,0,0,1,1,0,,,,,0,0,15.0,0,
Romny Weaver,,1,Ironborn,,,,,House Weaver,,0,0,0,1,0,,,,,0,0,,0,
Ronald Storm,,1,,,,,,House Connington,,0,0,0,0,1,,,,,0,0,,0,
Ronnel Stout,,0,Northmen,,,,,House Stout,,0,0,1,0,0,,,,,0,0,,0,
Ronnel Harclay,,0,,,,,,House Harclay,,0,0,1,0,0,,,,,0,0,,0,
Roone,,1,,286.0,,,,,,0,0,0,1,0,,,,,0,0,19.0,0,
Roone (maester),Maester,1,,,,,,,,0,0,1,1,0,,,,,0,1,,0,
Roryn Drumm,,0,Ironborn,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,
Roose Ryswell,,1,Northmen,,,,,House Ryswell,,0,0,0,1,1,,,,,0,0,,0,
Rosamund Lannister,,0,,,,,,House Lannister of Lannisport,,0,0,0,1,1,,,,,0,0,,0,
Rosey,,0,,284.0,,,,,,0,0,0,1,0,,,,,0,0,21.0,0,
Rowan,,1,Free folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,
Rudge,,0,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,
Runciter,Grand Maester,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,
Rupert Crabb,Ser,0,,,,,,House Crabb,,0,0,0,1,0,,,,,0,1,,0,
Rus,,0,Ironmen,,,,,Drowned men,,0,0,0,1,0,,,,,0,0,,0,
Rusty Flowers,,1,,,,,,Night's Watch,,0,0,0,0,1,,,,,0,0,,0,
Ryam,Archmaester,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Ryk,,1,Free folk,,,,,,Munda,0,0,1,1,1,,,,1.0,1,0,,0,
Ryles,,0,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,
Rymolf,,0,Ironborn,,,,,House Greyjoy,,0,0,0,0,0,,,,,0,0,,0,
S'vrone,,0,Braavosi,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Saathos,,0,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Sailor's Wife,,0,,,,,,Happy Port,,0,0,0,0,0,,,,,0,0,,0,
Sallor,,1,Qartheen,,,,,Stormcrows,,0,0,1,0,0,,,,,0,0,,0,
Salloreon,,1,,,,,,Antler Men,,0,1,0,0,0,,,,,0,0,,0,
Sam Stoops,,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,
Samwell Spicer,Ser,1,,,,,,House Spicer,,0,0,1,1,0,,,,,0,1,,0,
Sargon Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,
Scarb,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Sawwood,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,
Sedgekins,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Sefton Staunton,Septon,1,,,,,,House Staunton,,0,0,0,0,0,,,,,0,0,,0,
Serra,,0,Lysene,,,,,,Illyrio Mopatis,0,0,0,0,1,,,,1.0,1,0,,0,
Sharna,,0,,,,,,,Husband,0,0,1,1,0,,,,1.0,1,0,,0,
Shella,,0,,,,,,,,1,0,0,0,0,,,,,0,0,,0,
Sherrit,King,0,,,,,,,,0,0,1,0,0,,,,,0,1,,0,
Shortear,,0,westermen,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,
Shyra,,0,Northmen,,,,,House Stark,,0,1,0,1,0,,,,,0,0,,0,
Sigfry Stonetree,,1,Ironborn,,,,,House Stonetree,,0,0,0,1,0,,,,,0,0,,0,
Sigrin,,1,Ironborn,,,,,House Greyjoy,,0,1,1,0,0,,,,,0,0,,0,
Simon Leygood,Ser,0,,,,,,House Leygood,,0,0,0,0,0,,,,,0,1,,0,
Sky Blue Su,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Skinner,,1,,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,
Skittrick,,0,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,
Skyte,,1,Ironborn,,,,,,,0,1,1,1,0,,,,,0,0,,0,
Sloey,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Spare Boot,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,
Softfoot,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,
Spotted Pate of Maidenpool,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,
Squint,,0,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,
Squirrel,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,
Steffarion Sparr,,1,Ironborn,,,,,House Sparr,,0,0,0,1,0,,,,,0,0,,0,
Stafford Lannister,Ser,1,Westerman,246.0,Marla Prester,Jason Lannister,,House Lannister,Myranda Lefford,1,1,1,1,1,,,,1.0,1,1,53.0,1,
Steffon Fossoway,Ser,1,,,,,,House Fossoway of Cider Hall,,0,0,0,0,0,,,,,0,1,,0,
Steffon Hollard,Ser,0,,,,,,House Hollard,,0,0,0,1,0,,,,,0,1,,0,
Stannis Baratheon,,1,,,Cassana Baratheon,Steffon Baratheon,Shireen Baratheon,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,4,
Steffon Varner,Lord,1,,,,,,House Varner,,0,1,0,0,0,,,,,0,1,,0,
Stone Thumbs,,0,Free Folk,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Stonehand,,0,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,
Sybassion,,1,Qarth,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Sylas,,0,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,
Symon Stripeback,,1,,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,
Symond Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,
Tagganaro,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Tal Toraq,,1,Summer Isles,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,
Talea,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Talla Tarly,,1,,,,,,House Tarly,,0,0,1,0,0,,,,,0,0,,0,
Tansy,,0,,,,,,Peach,,0,0,1,1,0,,,,,0,0,,0,
Tansy (orphan),,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Tarber,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Terrance Lynderly,,0,,,,,,House Lynderly,,0,0,0,1,0,,,,,0,0,,0,
Terro,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Theo Frey,Ser,1,,,,,,House Frey,,1,0,0,0,0,,,,,0,1,,0,
Theobald,Seneschal,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Thistle,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,
Theon Stark,,1,Northmen,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Thormor Ironmaker,,1,Ironborn,,,,,House Ironmaker,,0,0,0,1,0,,,,,0,0,,0,
Tim Stone,,0,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,
Timon,Ser,0,,,,,,,,0,1,1,0,0,,,,,0,1,,0,
Timett (father),,0,Vale mountain clans,,,,,Burned Men,,1,1,0,0,1,,,,,0,0,,0,
Timoth,,1,,,,,,House Martell,,0,0,0,1,0,,,,,0,0,,0,
Tobbot,,0,,,,,,House Clegane,,0,1,0,0,0,,,,,0,0,,0,
Toefinger,,1,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,
Todric,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Tom Costayne,Ser,0,,,,,,House Costayne,,0,0,0,1,0,,,,,0,1,,0,
TomToo,,0,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,
Tommard Heddle,Ser,1,,,,,,House Heddle,,0,0,0,0,0,,,,,0,1,,0,
Toregg,,1,Free Folk,,,,,,,0,0,1,1,1,,,,,0,0,,0,
Torrek,,0,Vale mountain clans,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,
Tothmure,Maester,1,,,,,,,,0,1,0,0,0,,,,,0,1,,0,
Torrhen Stark,,1,Northmen,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Tregar,,0,,,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,
Tregar Ormollen,,1,Lyseni,,,,,,,0,1,0,1,0,,,,,0,0,,0,
Tristan Ryger,,0,,,,,,House Ryger,,0,0,1,0,0,,,,,0,0,,0,
Tristifer V Mudd,,1,,,,Tristifer IV Mudd,,,,0,0,0,0,0,,0.0,,,0,0,,0,
Tristimun,Ser,1,,,,,,Sea watch,,0,0,1,0,0,,,,,0,1,,0,
Tristifer IV Mudd,,1,,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Tuffleberry,,0,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Tumberjon,,0,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,
Tumco Lho,Ser,1,Ghiscari,,,,,,,0,0,0,0,1,,,,,0,1,,0,
Turnip,,0,northmen,,,,,House Stark,,0,1,0,1,0,,,,,0,0,,0,
Turquin,Maester,1,,,,,,,,0,0,1,0,0,,,,,0,1,,0,
Tybero Istarion,,1,,,,,,Second Sons,,0,0,0,0,1,,,,,0,0,,0,
Tymor,,1,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,
Ulf the Ill,,0,Ironborn,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,
Tywin Frey (son of Raymund),,1,,299.0,,,,House Frey,,0,0,0,1,0,,,,,0,0,6.0,0,
Uller,,1,Ironborn,,,,,House Greyjoy,,0,1,1,1,0,,,,,0,0,,0,
Umar,,0,Vale mountain clans,,,,,Moon Brothers,,1,0,0,0,0,,,,,0,0,,0,
Umfred,,0,,,,,,House Baelish,,0,0,1,0,0,,,,,0,0,,0,
Umma,,0,,,,,,Faceless Men,,0,0,0,1,0,,,,,0,0,,0,
Urreg,,0,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Urek Ironmaker,,1,Ironborn,,,,,House Ironmaker,,0,0,0,1,0,,,,,0,0,,0,
Urrathon,,0,Qartheen,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Urzen,,1,Ironborn,,,,,House Greyjoy,,0,1,1,0,0,,,,,0,0,,0,
Urron Greyiron,,1,Ironborn,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Urrigon Greyjoy,,1,Ironborn,268.0,Lady of House Sunderly,Quellon Greyjoy,,House Greyjoy,,0,0,0,1,0,,,,,0,0,37.0,0,
Uthor Underleaf,Ser,1,,181.0,,,,,,0,0,0,0,0,,,,,0,1,100.0,0,
Utt,Septon,1,,,,,,Brave Companions,,0,1,1,0,0,,,,,0,0,,0,
Vaellyn,Archmaester,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Varly,,0,northmen,,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,
Veiled Lady,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Vickon Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,
Violet,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Victor Tyrell,Ser,0,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,1,,0,
Walda Frey (daughter of Lothar),,0,,294.0,,,,House Frey,,0,1,1,1,0,,,,,0,0,11.0,0,
Walda Frey (daughter of Edwyn),,0,,290.0,,,,House Frey,,0,1,1,1,0,,,,,0,0,15.0,0,
Walda Frey (daughter of Rhaegar),,0,,288.0,,,,House Frey,,0,0,0,0,0,,,,,0,0,17.0,0,
Walda Frey (daughter of Walton),,0,,280.0,,,,House Frey,,0,0,0,0,0,,,,,0,0,25.0,0,
Walda Frey (daughter of Merrett),,0,,283.0,,,,House Frey,Roose Bolton,0,0,0,0,0,,,,1.0,1,0,22.0,0,
Walda Rivers (daughter of Aemon),,0,,295.0,,,,House Frey,,0,0,1,0,0,,,,,0,0,10.0,0,
Walder Frey (son of Jammos),,1,,291.0,,,,House Frey,,0,0,0,0,0,,,,,0,0,14.0,0,
Walder Frey (son of Emmon),,0,,285.0,,,,House Frey of Riverrun,,0,0,0,0,0,,,,,0,0,20.0,0,
Walder Frey (son of Ryman),,1,Rivermen,260.0,,,,House Frey,,0,0,0,0,0,,,,,0,0,45.0,0,
Walder Frey (son of Merrett),,1,,291.0,,,,House Frey,,0,0,0,0,0,,,,,0,0,9.0,0,
Wallen,,0,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,
Walton,,1,northmen,,,,,House Bolton,,0,1,1,1,1,,,,,0,0,,0,
Walys Flowers,Maester,1,Reach,,,,,,,0,0,0,0,1,,,,,0,1,,0,
Wat (Barleycorn),,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,
Blue Bard,,1,,,,,,House Tyrell,,0,0,0,1,1,,,,,0,0,,0,
Wat (orphan),,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Wat (sailor),,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Wat (Standfast),,0,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,
Wat (Wet),,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,
Wate,,0,,,,,,House Targaryen,,0,0,0,0,0,,,,,0,0,,0,
Watt,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,
Wayn (guard),,1,Northmen,,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,
Weasel,,1,,296.0,,,,,,0,1,0,0,0,,,,,0,0,9.0,0,
Wendell Webber,Ser,1,,,,,,House Webber,,0,0,0,0,0,,,,,0,1,,0,
Wendello Qar Deeth,,0,Qartheen,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Werlag,,0,Ironborn,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,
Rafford,,1,,,,,,House Clegane,,0,1,1,1,1,,,,,0,0,,0,
Jhogo,Bloodrider,0,Dothraki,281.0,,,,House Targaryen,,1,1,1,1,1,,,,,0,0,24.0,0,
Sour Alyn,,1,,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,
Tobho Mott,,1,Qohor,,,,,,,1,1,1,1,1,,,,,0,0,,0,
Zollo,,1,Dothraki,,,,,Brave Companions,,0,0,1,1,0,,,,,0,0,,0,
Tanda Stokeworth,Stokeworth,0,,,,,,House Stokeworth,,1,1,1,1,1,,,,,0,1,,1,
Samwell Tarly,,1,Westeros,283.0,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,22.0,0,
Abelar Hightower,Ser,1,,,,,,House Hightower,,0,0,0,0,0,,,,,0,1,,0,
Addam Frey,Ser,1,,,,,,House Frey,,0,0,0,0,0,,,,,0,1,,0,
Addam,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,
